cod;nome;período;valor
21;MA;1993;3.4
33;RJ;1993;33.11
26;PE;1993;25.95
11;RO;1993;22.55
53;DF;1993;21.64
32;ES;1993;20.57
14;RR;1993;17.84
12;AC;1993;13.94
50;MS;1993;13.89
27;AL;1993;13.48
16;AP;1993;12.63
35;SP;1993;11.26
28;SE;1993;10.63
52;GO;1993;8.99
29;BA;1993;8.25
51;MT;1993;7.86
13;AM;1993;7.76
41;PR;1993;7.44
43;RS;1993;7.33
15;PA;1993;7
25;PB;1993;6.26
24;RN;1993;6.03
23;CE;1993;4.12
15;PA;1994;7.75
22;PI;1994;1.19
21;MA;1994;2.34
31;MG;1994;2.82
17;TO;1994;3.03
42;SC;1994;3.23
23;CE;1994;3.92
24;RN;1994;4.6
25;PB;1994;5.68
51;MT;1994;6.45
13;AM;1994;8.11
41;PR;1994;8.18
43;RS;1994;8.34
12;AC;1994;9.18
29;BA;1994;9.34
52;GO;1994;10.42
35;SP;1994;12.43
28;SE;1994;13.49
27;AL;1994;14.52
50;MS;1994;15.04
16;AP;1994;16.69
11;RO;1994;17.12
14;RR;1994;19.46
32;ES;1994;21.73
53;DF;1994;22.69
26;PE;1994;25.74
33;RJ;1994;41.19
28;SE;1995;8.22
13;AM;1995;7.93
25;PB;1995;7.16
15;PA;1995;7.1
24;RN;1995;5.5
23;CE;1995;5.35
42;SC;1995;4.51
31;MG;1995;3.68
17;TO;1995;3.48
21;MA;1995;3.12
22;PI;1995;1.72
33;RJ;1995;50.08
26;PE;1995;27.84
53;DF;1995;25.55
32;ES;1995;21.89
50;MS;1995;21.49
14;RR;1995;19.07
27;AL;1995;18.06
16;AP;1995;17.47
35;SP;1995;15.31
51;MT;1995;13.92
12;AC;1995;12.52
11;RO;1995;11.94
52;GO;1995;10.19
43;RS;1995;10.16
41;PR;1995;9.49
29;BA;1995;8.44
28;SE;1996;9.36
41;PR;1996;8.74
25;PB;1996;8.32
15;PA;1996;6.33
24;RN;1996;5.59
23;CE;1996;5.15
17;TO;1996;4.67
42;SC;1996;4.37
31;MG;1996;3.88
21;MA;1996;3.58
22;PI;1996;1.5
52;GO;1996;10.39
33;RJ;1996;44.88
26;PE;1996;31.42
50;MS;1996;24.28
53;DF;1996;23.88
32;ES;1996;23.58
16;AP;1996;23.45
29;BA;1996;11.86
14;RR;1996;20.23
27;AL;1996;19.56
51;MT;1996;19.1
11;RO;1996;15.94
35;SP;1996;15.72
12;AC;1996;12.61
43;RS;1996;10.35
13;AM;1996;9.21
16;AP;1997;14.18
22;PI;1997;1.71
21;MA;1997;2.79
31;MG;1997;4.31
42;SC;1997;4.54
17;TO;1997;4.63
24;RN;1997;5.9
23;CE;1997;6.47
28;SE;1997;7.06
15;PA;1997;7.2
13;AM;1997;8.21
41;PR;1997;9.8
25;PB;1997;9.81
12;AC;1997;11
29;BA;1997;11.22
43;RS;1997;11.75
35;SP;1997;15.47
14;RR;1997;15.72
11;RO;1997;16.41
27;AL;1997;17.99
51;MT;1997;19.1
53;DF;1997;23.02
50;MS;1997;25.2
32;ES;1997;33.47
26;PE;1997;40.18
52;GO;1997;9.29
33;RJ;1997;45.45
21;MA;1998;2.43
42;SC;1998;3.94
31;MG;1998;5.06
26;PE;1998;48.53
33;RJ;1998;43.69
32;ES;1998;40.1
53;DF;1998;24.64
24;RN;1998;5.33
29;BA;1998;6.22
28;SE;1998;6.23
23;CE;1998;6.89
17;TO;1998;7.04
15;PA;1998;7.56
25;PB;1998;8.68
13;AM;1998;9.05
52;GO;1998;9.15
41;PR;1998;10.38
43;RS;1998;10.72
12;AC;1998;11.28
27;AL;1998;15.4
16;AP;1998;16.87
35;SP;1998;17.86
14;RR;1998;20.33
50;MS;1998;20.95
11;RO;1998;24.37
51;MT;1998;23.03
22;PI;1998;1.47
42;SC;1999;3.51
31;MG;1999;4.19
29;BA;1999;4.24
24;RN;1999;5.2
15;PA;1999;5.84
